Country Name,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Sweden,29618.28,29927.60,30926.51,31814.86,33858.61,34244.47,37730.16,40905.15,42158.30,40279.46,42223.92,44608.58,45432.43,46312.39,47184.67,49103.13,50430.25,51947.95,53521.63,54598.78,55037.72
Switzerland,36772.69,37896.70,38814.37,38840.88,40336.41,41749.22,46502.93,51208.10,54096.81,53354.00,54858.45,57987.50,59933.60,62225.09,64103.01,66020.20,68105.15,69103.57,71660.21,72033.93,71745.30
Syrian Arab Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Tajikistan,1048.59,1155.27,1278.37,1420.00,1579.25,1705.07,1843.45,2000.15,2155.20,2208.89,2328.46,2496.58,2750.36,3027.81,3303.10,3150.43,3114.90,3252.93,3497.32,3732.87,3858.20
Tanzania,1191.28,1258.11,1331.99,1407.39,1510.50,1627.47,1736.73,1851.17,1938.72,1998.30,2088.10,2228.70,2099.43,2194.88,2243.59,2348.44,2479.33,2530.60,2652.39,2773.16,2779.91
Thailand,7302.89,7648.86,8179.40,8863.74,9608.55,10256.33,11024.85,11869.67,12244.82,12191.41,13195.37,13519.13,14870.98,15407.67,15480.21,15822.37,16616.20,17422.95,18530.21,19233.87,18232.80
Timor-Leste,1250.88,1459.48,1351.02,1311.38,1317.60,1366.56,1321.62,1467.59,1636.49,1784.36,1938.85,2060.25,2345.55,2483.18,2721.04,2912.74,3130.59,3177.49,3168.42,3780.04,4141.29
Togo,972.45,974.62,1001.33,1061.19,1052.02,1007.66,1037.70,1025.04,1058.28,1095.26,1144.33,1210.14,1227.16,1275.33,1328.38,1397.33,1954.20,2012.24,2110.83,2211.63,2223.50
Tonga,3649.38,3848.81,4076.84,4224.16,4207.00,4311.70,4400.43,4492.77,4760.27,4524.73,4610.51,5048.28,5228.95,5388.10,5639.84,5774.17,6195.84,6467.12,6565.22,6647.86,6695.14
Trinidad and Tobago,14547.24,15431.61,16845.88,19539.40,21550.67,23485.53,27264.77,29196.02,30632.99,29366.36,30528.89,30887.98,30063.33,30059.72,29698.57,27397.23,26389.74,26342.62,26880.64,26920.14,25023.70
Tunisia,6264.56,6586.95,6726.51,7120.22,7708.19,8156.64,8762.30,9504.93,9994.05,10267.04,10640.61,10576.07,10731.36,10769.91,11024.81,10825.09,10993.63,11234.49,11658.73,11899.96,10822.85
Turkey,9628.91,9280.25,9401.23,9699.92,10979.77,12003.85,13748.44,14986.15,16182.48,15598.00,17542.20,19799.12,20772.50,22438.71,24090.24,25753.39,26512.02,27913.82,27960.98,26867.47,27235.43
Turkmenistan,4275.01,4510.66,4548.02,4736.91,5055.94,5829.43,6588.03,7420.56,8561.58,9021.14,9810.61,11294.97,12057.18,12739.18,13491.00,13690.61,13862.28,14205.03,15201.78,16195.54,..
Turks and Caicos Islands,..,..,..,..,..,..,..,..,..,..,..,21235.74,19374.08,20119.53,22029.96,24098.85,26353.17,27060.59,28837.03,30488.11,22285.80
Tuvalu,2429.01,2499.96,2706.93,2629.38,2623.99,2570.64,2672.74,2889.98,3151.79,3006.47,2928.12,3182.20,3084.57,3250.59,3317.43,3613.73,3717.92,3896.75,4040.30,4455.54,4652.95
Uganda,1142.00,1190.36,1274.13,1338.54,1422.13,1510.67,1670.71,1802.21,1935.22,2017.67,2088.62,2259.44,2013.88,2014.27,2088.41,2128.74,2092.48,2074.65,2175.81,2275.21,2294.34
Ukraine,4265.12,4792.34,5177.01,5822.03,6734.88,7210.60,8045.49,8993.89,9425.44,8095.59,8558.99,9246.77,9705.36,11111.05,10743.59,10164.33,11148.20,11860.56,12633.13,13346.48,13054.76
United Arab Emirates,98365.16,96724.07,95551.73,99239.96,101872.97,97671.63,95679.86,87102.97,79732.24,68167.58,64882.85,67686.39,69102.48,70374.24,73619.04,64901.88,63968.89,67183.61,68576.12,71150.54,66771.50
United Kingdom,26472.19,27807.17,29062.12,30355.28,32058.42,32747.35,34845.59,35695.30,36863.58,35212.42,36576.59,37379.29,38514.03,40218.75,41580.60,42912.88,44635.30,46372.39,47573.49,49041.46,46482.86
United States,36334.91,37133.24,38023.16,39496.49,41712.80,44114.75,46298.73,47975.97,48382.56,47099.98,48466.66,49882.56,51602.93,53106.54,55049.99,56863.37,58021.40,60109.66,63064.42,65279.53,63206.52
Uruguay,10255.10,10059.79,9427.15,9686.50,10451.89,11580.39,12406.37,13547.13,14764.19,15464.26,16817.08,18002.89,18192.33,19130.06,20093.62,20217.56,22454.39,23009.87,23588.15,24006.79,22793.69
Uzbekistan,2661.62,2797.61,2918.85,3063.04,3341.04,3641.93,3982.83,4413.97,4827.99,5168.51,5469.38,5844.81,6061.95,6302.65,6494.86,6680.18,6796.90,6840.71,7252.99,7658.90,7734.02
Vanuatu,2224.02,2146.33,2016.65,2088.00,2173.32,2301.73,2510.97,2591.01,2724.41,2760.45,2756.33,2825.16,2828.61,2811.37,2871.75,2832.18,2918.60,3081.84,3167.73,3269.91,3010.86
"Venezuela, RB",11748.99,12185.54,11078.08,10224.91,12207.72,13657.82,15219.72,16748.72,17723.15,17042.68,16740.37,17527.75,..,..,..,..,..,..,..,..,..
Vietnam,1987.30,2134.44,2282.86,2462.50,2694.46,2960.64,3232.81,3522.94,3758.55,3952.73,4213.30,4523.25,5042.48,5358.95,5745.21,6102.64,6572.98,7155.44,7768.08,8381.24,8650.13
Virgin Islands (U.S.),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
West Bank and Gaza,2785.33,2516.27,2180.41,2468.30,3012.53,3369.87,3350.54,3480.79,3708.66,3951.23,4119.82,4494.73,5255.83,5371.69,5510.13,5954.40,6305.39,6401.74,6469.91,6509.57,5689.95
"Yemen, Rep.",2960.43,3051.18,3129.66,3212.94,3333.06,3526.67,3643.45,3758.16,3860.43,3928.23,4162.09,3607.09,3491.20,3688.52,..,..,..,..,..,..,..
Zambia,1644.92,1724.64,1784.21,1894.35,2029.18,2185.94,2366.76,2563.94,2741.25,2933.13,3178.87,3323.94,3422.62,3578.85,3539.44,3430.40,3404.67,3485.02,3606.10,3617.20,3457.61
Zimbabwe,2272.60,2347.50,2167.02,1827.87,1762.52,1705.57,1685.36,1653.75,1374.17,1532.82,1830.83,2101.82,2375.93,2560.77,2612.46,2679.51,2806.47,3795.64,4017.22,3783.55,3537.35
